Comment,
"We did learn that failure is an option, but it should&#39;ve been done more frequently and efficiently. It costed us Checkpoints 4 &amp; 5. Regardless, I find this introductory course of Engineering very delightful.",
"My team from checkpoint 4 - 5 have been very lazy and work has only been completed the day before. There is a lot of issue going on and our hovercraft has suffered tremendously from the lack of communication and working together. I am very disappointing with the amount of work my team members have put in into this project and what&#39;s worse is that my grade is suffering because of it. My team members at this point seem to not have interest in even finishing the hovercraft for the final competition. Overall, I&#39;m disappointed that my grade will reflect on the lack of work they had done for the project.",
Myles left us in the start and we had to build with 3 people......,
Zuwenat was a little troublesome for me ,
I really wish Elizabeth pulled her weight during the project because she didn&#39;t contribute as much as she should have during the duration of the project.,
"Marco is a great teammate, Jared and Jakob are mediocre at best.",
"Contribution was more equal since last eval. Kevin is irritating when he&#39;s annoyed. Branden just slows us down sometimes. If we&#39;re all calm, there aren&#39;t really any issues. I don&#39;t like making the team members sign for their percentage of contribution because if it&#39;s less than equal, it&#39;s uncomfortable and annoying to deal with the person who did not contribute as much as the rest of us. No real problems occurred, however.",
"Adolfo doesn&#39;t do pretty much anything, he comes in exactly on time so we can never get prepared before lab with him, but he does come everyday and he does work in class, just not so much out of class, he&#39;s more outspoken and listens the most.
Marissa can be the rudest of the group, she doesn&#39;t listen to anyone, especially me, and takes over the &quot;fun&quot; parts of lab, however, shes a hard worker and does a lot of the work, plus she caries the hovercraft most of the time and turns in our reports. always early and always present
Jesse is very nice and understanding. he probably does the most amount of work, but hes very quiet and doesn&#39;t explain what he is doing.
all teammates work well on written projects, but they are always started the day before by everyone but me and done like an hour before they&#39;re due which stresses me out a lot",
Everything went well and we finished all we needed with little to no conflicts minor or otherwise. ,
"I really would have liked to have waited a few more days for the final run but I was out voted. However, I understand that democracy is part of a successful team dynamic. We turned in our design report today and overall I am very happy with the diversity of this group as our strengths all paired well. ",
Wish the hovercraft worked,
"Over the last few weeks, small issues that had been worked through before became major obstacles that impeded any meaningful progress. Brandon, Matt, and I made every effort to meet, but Shadrach was absent from all meetings except for the final competition. We had to scrap one hovercraft and build a completely new one two days before the final competition. Ultimately, we were only able to make it do the bare minimum, whereas if we had had about a week, and everybody&#39;s full cooperation, we would have been able to fully complete the project.",
i can tough it out,
Less group projects.,
none,
All Good,
"It has been a pleasure working with my team. We did experience issues with another team &quot;borrowing&quot; our battery charger without our permission and returning it, many days later, with a broken molex connector. This also happened the night before our checkpoint skills lab. Thankfully another team was kind enough and allowed us to use their charger so we were able to perform for the checkpoint that day.",
I have been stuck managing the entire project for my team and have built every single component while the group just groups together like a group of sheep.,
"Great teammates. Did a lot more work than they should of, because I had to go home every 2 weeks, and didn&#39;t complain about it all.",
"Other members of the team decided to finish a week early to get credit for the final competition. After bringing the hovercraft home to work on it the night before we&#39;d do the final competition, I brought it in for that purpose. I texted my team asking where they were and they asked why we were meeting. It was the only day our TA would be there to grade us. Two of my teammates eventually showed up, but the last one never did. Ethan said afterward he would draft up the final design report over the weekend to finally take some of the workload off of me, as he has said many times before with other tasks, but it never happened. Matt was very helpful during this portion of the project, as we had to completely redesign our non-functional propulsion system, and he designed and built it mostly on his own. I understand the rest of my teammates have other responsibilities with life and other classes, but it is a bit disappointing none of them could portion enough time to contribute more to the project. ",
"Even though Kody was frequently absent and usually did not contribute as much as the rest of the team, he was a great teammate and that should not be held against him. Most of the time, Brendan and Ethan would be so efficient that there was simply not that much left for Kody and me to do, which actually turned out to be a very productive team dynamic.",
"Considering that it is much closer to the end of the project and the majority of the work has already been completed, we have not been meeting at a regular bases. Some of that can be because of the Thanksgiving break and others are prioritizing to work on other classes. It has been difficult to plan a group meeting, but our hovercraft is complete and working. Zahidul has been the most active in trying to coordinate the group through text, but since he is not the one in possession of the hovercraft, we are usually left to program without much testing.",
For checkpoints 4 and 5 Mathew and I spent about 20 hours each while working on this project together. The rest of the team put about 5 hours each.,
"I feel that if we had smaller or bigger groups, it wouldn&#39;t matter, our team couldn&#39;t be more compatible. We surprisingly get things done, despite our schedules. We really dont have any problems other than relying on luck/chance 15% of the time. But we our proud of our hovercraft, we couldn&#39;t be more satisfied.",
n/a,
My group and I work very well and I believe that my success in the class is partially due to the team I was put into and the way we interact as a group.,
"Travis has probably been one of the worst teammates I have had the pleasure to work with. He has shown no interest or effort to complete any tasks, and has continually come up with excuses for leaving or not participating. His complaints are not unique, and we all have the same type of things going on.",
"I do most of the work.  One member on the team likes to make &ldquo;smart&rdquo; comments after the fact about what could have been done but didn&rsquo;t like to contribute to fixing the problems. Another member can&rsquo;t do anything by himself, everything he does has to be revised and looked over. Another member caused us to fail the one thing that he was responsible for this semester. Luckily we were given extra time to revise but I ended up having to do it last minute because he just didn&rsquo;t do it.",
"Katherine has said she would help the team by taking care of journals etc., but we end up doing it because she waits until the last minute and then has an excuse as to why she couldn&#39;t get it done. Also, she never shows up on time, if she even shows up at all, to team meetings.",
"This project was very trying, and Justin took over the project so it got worse.",
Kingston Morgan hasnt shown up or responded to texts in months,
We had a teammate who never showed up for labs or meetings since the first time we are assigned our group.  That was Kingtson Morgan.  ,
"Throughout the entire semester, Nathaniel Kankoski failed to do his part for: the Design Concept Report, Checkpoint 4, CO11 P aper, Checkpoint 5, Final Competition, and the Final Report. When he did not do his part, he left Christian, Clifford, and mainly me to cover for his work. Nathaniel does little to participate in the group effort by not engaging in finding work to contribute and attempts to leave as soon as he can. In addition, he fails to show communication with us; when texted, he does not respond whatsoever. However, I do admit that I have failed to speak up about the issue. But don&#39;t ignore the fact that Kankoski also did not try to own up to his own mistakes. During the meetings is he primarily jokes around rather than participate.",
Nate in our group has gone MIA and hasn&#39;t helped us with our hovercraft in the past 2-3 weeks.,
"This was a great team, they were the first new friends that I made at this school and I couldn&#39;t have asked for a better team. We worked hard and it paid off, we ended up getting 100% on the final competition. ",
I&#39;m really grateful for my team. I&#39;m glad I got paired with them. We all contribute equally and they make this a fun project.,
"My group isn&rsquo;t necessarily bad, but it definitely isn&rsquo;t good. The main problem is stems from the laziness and lack of effort from 2 of the members. I can say that I have definitely done around 80% of the work so far, another member has done roughly 10%, and the remaining two members have each done 5%. I&rsquo;m the designated team leader so I expected to put a little more work in then everyone else but it seems I&rsquo;m the only one who really cares about my grade. It&rsquo;s not that I have bad teammates, it&rsquo;s that I need an A for a GPA requirement while the other members are okay with a C. Because of this discrepancy, I&rsquo;m forced to carry the team to an A. ",
i enjoy being on my team :),
Jeff patronizes team members for their ideas more then he used to.,
Been a great time with a great team. ,
Yay we are done!,
None,
My team is the best in the world!!!!!,
Our group worked extremely well together and completed all of our work. It was a fun project!,
:D,
Joshua Webb continues to not contribute his fair share to the project.,
Our team works very well together.,
Tony J is the man,
Tony J is the goat.,
"Tony J is the man, dude",
I am very ready to be done with this project.,
This was a good team to work with.,
.,
No comments.,
Good team.,
"I think my team is incredible, and we work very well together to create the hovercraft we&#39;ve made. No troubles ever really came, and whenever one member needed help, the others would come as soon as possible with ideas. It is the greatest pleasure to work alongside these new friends of mine.",
"why did the scarecrow get the award?
he was outstanding in his field!",
"Cant wait to be done with this hovercraft
",
"I had an amazing team, they all worked together well and got thier assigned activities done on time and as expected.",
"Good semester, good people, good class",
"Overall this team was fine to work with, Ben would show up a lot of the time and then would just stay on his phone and complain when the other teammates weren&#39;t there. However, other then that we worked fine together, we got our assignments done on time and worked off of our different ideas and experiences. ",
N/A,
"For the most part, things have been normal. However, Connor and I recently had some disagreements while working on the final report. He made the wiring schematic of the report, and I disagreed with the way he presented the relay switch between the fans and batteries. However, he wouldn&#39;t listen, and argued with me on it. I discontinued the conversation quickly, because I could tell the conversation was going nowhere, and I was getting upset. Was this a problem that likely won&#39;t amount to anything significant? Probably, but it was still upsetting, and it was rude of him to immediately turn my disagreement away.",
N/A,
2 people carried the team :^),
"As a team we have developed a strong understanding of each other. I am very pleased with our progress as well our work ethic.
",
"I am really happy on how this team project worked out, with a team that worked really well with each other professionally and casually. We were always hanging out with each other when we weren&#39;t working on our craft, getting along well and being interested in what we all were up to. When we would meet up, we would go into work mode putting everything together and doing extensive tests. Like I said before, I am really happy with how it went!",
I believe that more tables for hovercraft testing should be invested in.  ,
"Things started off great but our team has a hard time evenly distributing the work load, evenly contributing, listening and respecting others ideas. ",
The project overall was a enjoyable experience and the team I was placed in worked well when we all managed to find a time where we all could meet. ,
N/A,
"Despite my own biases, I feel that I have done the most work out of anyone in this project. I have never missed a meeting. I wrote the final report and a great deal of the design report on my own, I programmed the project&#39;s control system on my own, and did just about all of the calculations back when originally designing the hovercraft&#39;s lift system. This is all on top of my responsibilities pertaining to meeting with my team to build the hovercraft. Sometimes I had to work alone in the EDL to build it. I was always able to make time for this project.
My teammates did not take advantage of me and I am glad that I was able to work with them, they are good partners and from what I can understand they had extremely busy schedules that they did their best to work around. However I do feel as if I did a disproportionately larger amount of work this semester.",
N/A,
I really enjoyed having this group as my hovercraft team. I hope to work with them again in the near future,
Having only three teammates makes it tough on us. Especially if someone cannot make it to the meeting due to all of our busy schedules.,
"My team often makes plans to meet during times when I am not available. I have made it abundantly clear that I am not available on Tuesdays or Thursdays.
I&#39;ve had to leave work during the middle of two shifts because they &quot;forgot&quot; to tell me they were meeting.
They also often make plans to meet and then do not inform me until the time of meeting, saying that &quot;they forgot.&quot;
At most meetings my ideas get shut down and usually I am completely ignored until about ten minutes later when one of them has the exact same idea.
They try to give me less percent on the group project even though I do all of the team journals, most of both reports, and show up to the meetings that I am told about.",
You are awesome!! have a great Winter Break (:,
"It seems like we never get anywhere as a group, deadlines are being missed and with the departure of Juliette, no one else had any desire to finish the project. The language barrier is still a big issue with Yinkai, as Jared and I are pulling most of his weight because he can only contribute so much to the hovercraft. I felt like I did a pretty good job overall in the class but this project will impact my grade in a way that says otherwise. ",
"The team does not want to show up to meetings, complete work, respond to messages and it is overall not an enjoyable experience",
This group has effectively come together to complete our tasks in an efficient and quality manner.,
Only two of us are putting forth effort in the whole project.,
"The mistakes my team had made up until now were harmless, however, the teammate who I entrusted to charge the batteries on the hovercraft did not do so. As a result, on the day of checkpoint 5 we were unable to get the hovercraft to even hover in the most basic way resulting in a score of 0 out of 35 on our checkpoint. Additionally, this past week neither of my teammates were willing to meet to put necessary work into our hovercraft just one day before the checkpoint, as a result I spent much time alone in the EDL working on the hovercraft. Up until now I was willing to put up with these types of actions for the sake of my grade and the overall quality of the project, but after the hard work I put into this hovercraft I am no longer willing to do so. With one more week remaining as a group, I understand that complaints about my teammates will not do me much good, but I felt that within this evaluation, it was necessary for context.",
It has been a pleasure working with this team. We complemented each other&#39;s strengths and weaknesses. I feel like we accomplished our project and goal well. ,
"Very Happy with the team, we had a great time working together.",
"Want to let you know that despite the work distribution sheet saying we each contributed 25% to the project this last stretch, Blake Cahill did nothing all week but fill out the paper, saying he did 25%, during our final evaluation. unfortunately we didn&rsquo;t have time to argue as the TA was rushing us to get the final evaluation signed and turned in and i just wanted to get this project finished after working on it all week. Nick Sanchez and I did pretty much everything for the entire project it&rsquo;s help from Blake Tuter. I cant think of one contribution Blake Cahill made at all during this entire project. But I&rsquo;m just glad this project&rsquo;s finally over. ",
"I have no additional comments for this class. I am somewhat relieved that this semester is coming to an end soon. It was a stressful 15 weeks, but I am glad that it is over.",
We&#39;ve been getting along with each other and we barely have any predicaments now thankfully.,
"Because we are near the end of the project, the team morale and efficiency has dropped significantly. Team members are not responding to messages, some don&#39;t show up to meetings, and the hovercraft is not finished yet. I find our team dynamic to be destructive to our progress and the attitude has been quite negative. I am worried that my team no longer cares how we perform on the final checkpoint.",
Most of the time when we are suppose to meet they never showed up or they just showed up hours later. ,
Christopher has not been contributing enough and he always some excuse when ever we are trying to for a long time. He always wants to leave early. But other than that everything has been fine.,
"This project was actual hell for me.  It was mostly during checkpoint 4 and 5 where I was the only one contributing.  Robert literally did nothing, at the end he tried, but I would give him an F.  I like him as a person if that counts for anything.  Dia slacked in the beginning and at the end she turned out to be really good.  Eddy was helpful,but during the checkpoint 4 and 5 time, he slacked, but in the end he was very helpful too.  I did pretty much all the work, but Dia and Eddy I could say I was overall pleased with them.",
"I think our team lacks team work. Everyone seems so busy. It is hard to find a time to meet up. When we do meet up, it is for an hour and we can&#39;t get anything done in an hour. I feel like the extra workload gets put on me. It is fine if I know how to do it, but I don&#39;t. I feel like I can&#39;t do anything right. Every time we have our group meetings, the EDL is really full so it is hard find a location to get things done.
I just feel so stressed since we&#39;ve been failing the checkpoints. Since I seem less busy compared to some people, I do attend all the meetings so I feel that it is my fault for those failures. ",
I have recently stepped up my effort on the hovercraft project since lectures ended and I currently have done most of the design and building process my self. I don&#39;t like to talk bad about others or complain but I truly feel that so far I have done most of this project my self. ,
Jesse likes to make comments under his breath that people cannot hear that are rude and demeaning and generally very unhelpful. I only notice cause I learned to read lips with a friend who is deaf a while back. I do not appreciate the things he says. And Alberto does not show up on time and the work he turns in to the group is half-completed or sloppy and sometimes needs to be redone. These groups need to be configured better. All our schedules are a mess and no one is willing to stick to the predetermined times and there needs to be a better way to do these team things...,
"Both Alberto and Jesse lack initiative and are not reliable when it comes to meeting attendance, communication, and doing their share of the work. Mit is very defensive of her ideas and fails to hear Alberto&#39;s, Jesse&#39;s, and mine&#39;s opinions. She is close-minded and will, more often that not, not even entertain our ideas; but instead shoot them down or list off reasons as to why it would not work without trying the idea.",
"When answering the questions on Team Satisfaction, I ignored Davis Troyer because he has basically ghosted the rest of the group for the past 2 checkpoints. Other than him, I am very satisfied with my group. ",
"Everything is great with Cameron and Adam but Davis does not communicate whatsoever, and his future grades will reflect that in our journal.",
"There are times I feel ignored or interrupted by some of my teammates. They are usually right, but it can be frustrating. ",
"At times, it feels like members do not want to be present when at meetings. This may just be due to fatigue and stress from all other aspects of college life. There has not been an issue that we haven&#39;t been able to resolve. ",
Matthew has missed two meetings and is quite late to many of them as well as leaves early for a majority of rest. He makes the minimal attempt to attend the meetings as well. Josh and Deev are active members and work well with everyone else and has gone to all meetings on time. He is on his last strike in terms of missing meetings before he is going to be reported and the amount of work that he does is minimal in terms of contribution to checkpoints and projects. He has done some work the last meetings and I hope that he starts to work more often now that he is on the last strike.,
"I think that my team is getting everything done and mostly everyone is doing their fair-share of work. However, Matthew is often late or absent from team meetings and it is hard to communicate with him as he rarely responds to texts. He does well when he shows up, but he just needs to be more proactive.",
"Lately David seems to be neglecting some of his responsibilities, and the last few team meetings we have had were dependent on david remembering items, or getting something done before he came, and he didn&#39;t and we were unable to accomplish our goals at the meetings. He also gets pretty firm ideas of what he wants to do and doesn&#39;t consult the team very much, or just goes forward with his ideas. He&#39;s a very nice guy, and it could just be the semester work piling up on him, but he has been fairly neglectful lately, and is preventingour team from completing checkpoints on time.",
"The team is working together fairly well. I wish people were more prepared when they showed up for meetings. At first there were several members who no call/ no showed for meetings, but I brought it up that it was not acceptable to do stuff like that, and everyone has seemed to be more focused since then. The biggest problem i have is when people show up with work done, but it is not done to the quality that it should be done. This causes a problem because I don&#39;t have time to do their portion of the assignment myself, nor I am I in a position to tell them to go redo it, yet my grade is negatively effected by their work.    ",
I am very disappointed with my group.  They have very poor communications skill and are very  lazy.  Two out of the three team mates have barely done anything.  I would probably be more productive and efficient by myself.,
"Roedwilm Zach Princer makes no contributions, misses meetings regularly, and is unreliable. when he does manage to make an appearance we ask him to take off his headphones and but his game away, and he does, but then doesn&#39;t make any real contributions. We are probably more productive on the days he fails to show up. Alex Honegger is overbooked, he is consistently late, and too busy to meet as often as we&#39;d like, although his contributions are helpful and he is a valuable member of this team, he isn&#39;t very punctual.",
"Only problem is that I haven&#39;t really been asked to do anything and I could not make the last meeting where we started building as we scheduled it on a day I had work, and I ended up getting called in early so I have not participated as much as I&#39;d like.",
"Stanley never does any work, my group hardly has the time to get together.  When we do get together only 3/5 of us show up.  Almost everything is done last minute.",
"difficulties because of the availability of all the teammates, difficulties to meet and difficulties because of my schedule of tennis tournaments.",
I enjoy working with Robert Yup immensely. The other two I can&#39;t exactly say the same for. Rachel and Christian don&#39;t necessarily show drive to work on the hovercraft build itself. They just seem to want to do the write ups more or less. ,
"Last evaluation, I mention that the only problem my team had was that their was no communication within our group. So far, that has slightly gotten better. We all work together very well and when we do our assign task, everyone seems to be able to complete their part. As time goes on, our team will be able to meet up more frequently to complete the hovercraft.",
"At this point Myles is completely unavailable. He has shown up for a single skills lab and that has been it. he does not respond to messages both personal and in the teams group chat. He has not been a part in designing the hovercraft nor any other decisions. My team remains behind everyone else because we have poor communication and conflicting schedules. I do most, if not all, the work when it comes to journals, checkpoints, and papers. Marlon and Richard are smart, capable team members, but I believe that we have gotten too far behind and require assistance from either Tony J. or our actual professors to get back on track. I&#39;m honestly not sure how we came to get so far behind, but I don&#39;t want to do poorly in this class and would like to finally get some footing on creating this hovercraft.",
WE dont do anything.,
"Myles and Richard never want to meet, in fact Myles has never been to a team meeting and Richard only half. Most of the time is just me and Jackson it just doesn&#39;t seem fair. We didn&#39;t completed checkpoint 2 because Myles decided to take a one week vacation from school and didn&#39;t tell us and he had our kit.",
"Elizabeth needs to be able to communicate better. She demands instead of ask, but her work needs to be done better due to the fact that what she works on has caused our group to lose points. Other teammates take interest and listen to each other.",
Some in our group refuses to meet in the times they told us multiple times that they could and one refuses to drive to meetings on weekends,
Marco Bui is a great teammate. He goes well beyond what is expected and always works hard on whatever we are trying to complete. Jakob and Jared do not have their schedules planned very well and are never able to work on the hover craft so Marco and I pick up their slack.,
"Kevin and Branden just don&#39;t always communicate their thoughts, plans, or actions very well. Bethany and I live on campus so it&#39;s a bit easier for us to meet up and work on the project. I would trust Bethany without checking work; I can&#39;t say the same for the other two.",
"During the labs, i kind of feel excluded and would like to do more on hands work. I always do the team journals and would sometimes like it if we traded off on doing it because i hate evaluating everyone, it makes me feel awkward. I would like to understand what we are doing more, but no one really explains anything and when we meet up we don&#39;t do much. the last checkpoint no one did anything until like 8 pm the night before and i would like it more if we were prepared earlier. this meeting today we are meeting in the lab to work on our hovercraft and hopefully we will get a lot done and i can have a part in it. Despite us not meeting up much and doing everything separately, we do still get all the work done and I&#39;m grateful for that. Also, they&#39;re very nice.",
"Jason is struggling to show up to meetings and/or communicate weather he will or will not be present at a meeting. its not an issue yet, simply noticeable. he is doing better about staying on task during meetings. The rest of the team is working well together. We are motivated to complete the projects and tasks on time, or before, and all are willing to put in the extra work needed to make this project happen effectively.",
"Everyone does their tasks. However, Shadrach is sometimes late to meetings and was late for the lab, which the group needed parts from him for the checkpoint. Luckily, he wasn&#39;t too late for the TA check but if this becomes a habit, then we as a group will discuss it.",
"Jackie does not do a fair share of her work, but she says she is going to make up for it so hopefully she does",
Andrew Wischer has not communicated with the group and does not show up to work with the group.,
One team member delivers sloppy work that is not acceptable.,
"For the most part our team works exceptionally well together, the only outlier to this statement is Fernando. He rarely can make meetings and has little to no input, ultimately this has no affect on the progress of the rest of the team however it certainly has no benefit either. David also misses every other weekend due to health reasons, I do not hold this against him however it is the reason for less contribution on his part.",
"David and Fernando have both been missing out on a lot of the work and with the way we&rsquo;ve divided it, I&rsquo;ve been doing all of the building and soldering with some help from Chandler and Jeremy and Chandler have been doing all of the Calculations and paperwork. Meanwhile Fernando and David sit and just watch us work and don&rsquo;t offer much help at all. I am very happy to work with Chandler and Jeremy but David and Fernando are not pulling their weight at all.",
"None of my teammates like working proactively on this project. I am still the only one who keeps track of assignment requirements and due dates. They do the things I assign to them for the most part, but I&#39;ve still had some things pushed back on me that they did not want to do or couldn&#39;t complete in time themselves. ",
"Everyone is pulling their fair share of work and i feel like Josh is picking up more of Zahidul&#39;s slack. Zahidul doesn&#39;t really do much, I still feel like he is just going along for the ride. He hasn&#39;t even completed his own share of work. But I feel like Josh is doing a lot of the work for our group. He really wants us to do good. I feel the same way about Aaron and Joel. Joel had a rough week, he kept really trying to help but he just getting the information wrong. But overall I really like working with my group except Zahidul.",
"Although Zahidul is present to all the meetings, I feel like he is just there in hopes that his presence equals contributing, when has little in put to provide. Because he is  hoping to be in computer science, hopefully he is able to step up when it come to programming.
Aaron has stepped up from the prior checkpoint, being involved in correcting issues when it arises, even if that means stressing the team out by fixing an issue that may not need to be corrected near a checkpoint deadline.
Everyone else is putting in an even amount of work.",
"This week I, Rebecca, was extremely sick with a fever and had an incident of fainting I was amazed with how chaotic things got without me. Smit is definitely not pulling his weight in the team",
A few team members don&rsquo;t show up on time or don&rsquo;t do their share of the work. Not showing up on time really irritates me because my commute time is by far the longest out of my team and I have been on time to all the team meetings. Relying on some of my teammates is a difficult thing to do because to be honest their work ethic and attitude show that they don&rsquo;t care about the project. I also have been buying most of the supplies and only one person has paid me back the 40 dollars they own me. Overall my team really needs to have a meeting to fix some of the issues that have been happening.,
"As the workload becomes more intense, and the group splits up some of the duties, I find myself going over other people&rsquo;s work half the time and basically making it my work because it&rsquo;s riddled with errors. They don&rsquo;t follow instructions all that well when the hovercraft design concept report was turned I as a google doc instead of a pdf. I had to ask the morning after because I figured it would happen and it did. ",
"I do more work than everyone else.  Keegan has helped a lot with the building of the hovercraft and the design of it but as for all of the written things, not much contribution.  John and Joseph help more with the written things than with the building.",
"I haven&#39;t seen Kingston in a few weeks but he&#39;s contacted me outside of class, disregarding his role as a group member. ",
"My teammates seem to have really A LOT of experience with almost every single aspect of this project and more. It makes it hard to step in and give my two cents whenever I can but its really hard when they jump on it without hesitation. I am doing what I can to learn as much as I can yet they are very proficient in this class and seem to have already done all of this when this is brand new to me. it makes it hard for me to learn because I am not necessarily hands on. I am doing my part by attempting to put my foot in every where I can. for instance , I am taking charge of writing our Essay on the production of a raw material.",
"Jason still hardly does anything. He&rsquo;s always late to labs, and he also doesn&rsquo;t communicate with the team well, even though he&rsquo;s on his phone all the time. He&rsquo;ll do one or two things and then leave us, saying that he has stuff come up for his fraternity as an excuse to get out of the meetings. Really uncool and annoying ",
"Lately, I have felt very excluded in the design of my hovercraft. For instance, I planned and showed up to every meeting we had, but I wasn&#39;t really welcomed to participate in the actual build of the hovercraft. I wanted to be hands on, but it was very clear to me that I wasn&#39;t trusted to be. This resulted in me giving the most of the workload to the guys because, while they did do most of the work in actually building the hovercraft, I was shut down when I tried to help. The guys in my group kind of took control and shut out me and Taylor. I feel like they don&#39;t value my input most of the time because they think they are smarter than me. While it is true that they probably have the tiniest bit more experience than me in design projects like this, this is an introductory class and I don&#39;t appreciate the fact that I have to walk away from my team meetings feeling discouraged and not smart enough. If I have questions (which I frequently do because I am trying to learn and a key part of the design process is to question the design early to avoid mishaps further along the line), I don&#39;t want to feel judged for them. I plan on discussing these feelings at my next team meeting. ",
team has been really good besides someone sleeping through a meeting time for extra credit on the stable hover checkpoint when he had the hover craft,
"Again, Joshua Webb fails to help or even try to help. During the last checkpoint, when all of us were working on the hovercraft, he decided it was more important to watch the Cubs game and then has the audacity to get mad when we give him a 1% in contribution.",
JC does not do anything,
"just unsatisfied with the class as a whole
",
All of the items needed and bought were done by one person. We discussed who wanted to buy items and tried to distribute the task. The tasks were not able to be done and I took the initiative to buy all the items that were not purchased. Which prolonged our hovercraft from being worked on because of vital items that were being shipped later on.,
"I only don&#39;t like working on this team as they do not communicate well about what they are doing, or when they plan on finishing their part. There have been instances that someone hasn&#39;t showed up to something they were supposed to causing me to complete their share along with mine, although this is reflected in the percentage of work I don&#39;t appreciate being &quot;stood up&quot;. There hasn&#39;t been time to address this with them as they were not at the engineering meeting and they weren&#39;t answering their phone.",
"I feel as though there may be too many cooks in the kitchen. I don&#39;t feel that I am able to contribute as much to my group for this reason. We get along fine, and get the work done, it just seems that we have to assign more busy work than anything.",
"Hello Professors,
My group is not working that well together. I know our schedules are incompatible but the times we can meet, people always seem to come late to meetings. During the meetings, time is not being spent wisely, i.e. people are standing around or just on their phones while another is doing a task. As well, I feel as if I keep having to remind everyone that we need to meet and clearly outline our tasks otherwise it seems they might not get done. For example, my group did not realize we had the design concept due until 2 days before and I am always reminding everyone about the journals and minutes requiring completion and then often doing them myself. Today I was doing the journal since no one else did and told them that, because of our limited time, they should start working on the hovercraft. However, they waited around until I was done. When I am filling out the journal and outlining the next tasks, I keep suggesting that we divide into pairs to work since our scheduling is difficult but they typically want to work altogether, and we have difficulty planning those meetings, and then people either come late or leave early. Additionally, during our checkpoint 3, one of our two fans was not working at all, thankfully it was okay and we were able to pass because our deck is smaller than originally planned. However, I wanted to talk about what we are going to do about this, whether that be ordering a new fan or something else, after or at least soon after the checkpoint, but they said we would do it later.  Per what seems to be the norm, I am worried we will not even talk about this again till much later and then this big decision will be rushed. Thank you for listening to my concerns and I simply wanted to make sure you were aware of them. If you have any advice, that would be greatly appreciated.
Thank you,
Ariahna Wolf",
"As explained before, there are only slight personality things that annoy me, but not so much that I can&#39;t continue working as if nothing were wrong.
Since the last cat me evaluation, nothing has happened where I asked a question and was almost ignored in response.
However, Connor still makes comments about Matt&#39;s group interactions. In fact, just earlier today, Matt was telling someone something he found interesting, and Connor very sarcastically went &quot;oh wow.&quot; Again, it isn&#39;t damaging to our own team, but it&#39;s not super enjoyable working with sarcastic people like that.",
"Team struggling to have meetings where all members are present and are dividing the work equally.
Most meetings it is 2 or 3 people doing all of the work
Team struggles to have everyone present at meetings from start to finish
",
"Me and Nathan have supplied most of the financial funds. Ben has provided most of the... I don&#39;t know what he has done. Ben tries to do everything and freaks out when stuff doesn&#39;t go his way. Example: he got 2 motors online to use in hovercraft, one of said motors did not work. Instead of testing the second motor out he freaked out and tried to destroy the motor yelling &quot;I NEED AN A!!!&quot;. He failed at the first attempt to pull the motor apart and decided to take a second to breath with anger. Taking his further pent up frustrations of being an &quot;ass hat&quot; ,excuse my language, he used his hidden hulk strength to finally break the motor apart. While witnessing this display of nerd force, I tried to calm him down, saying there is another motor. He exclaimed that they are all broken because it was made by the same company. He then slumped down and I thought he was going to go on another hulk smash rage... So i told him that we would find another one. To which he responded with &quot;there are no more that we can order!&quot;. I went to a neighboring table or two and they all had motors that they had purchased in stores not far away. We made a plan to acquire more motors and that was that.
Bryson is a sack of turnips. I don&#39;t know what he is doing nor the location of his person. I asked him to purchase a mouse trap and he went to Walmart and said they sold out of &quot;nose traps&quot; WTF is a nose trap. Maybe he meant to type in mouse trap but auto correct did something wrong. Anyways I call BS that Walmart ran out of mouse traps.
Nate... He is an angel in a coven of heathens. Me and him spent 240 plus dollars on this stupid project. Together we have spent 2x the amount we should of. 80 bucks each is what we agreed upon and bryson and ben have not lived up to their side of the bargain.
In conclusion - Nate and Amir = good
Bryson and ben = bad
I am happy though to have the team that I have. A real team in the real world can be ugly. By using the experience gained from this project I will be better prepared for real world application. ",
The only reason for the mark downs on Bryson for his repetitive absents to our meetings that we have schedules via a group message that he is apart of and sees the messages of. Bryson has decent contribution when present but these continuing occurrences are somewhat becoming irritating. Nothing personal against Bryson.,
"Cyrus is beginning habits of &quot;no call no show&quot; recently. Communication with Yinkai is improving, but didn&#39;t do any research or contribute in any way for the CO11 paper even though he said he would. Jareds behavior is somewhat improving, still a little negative but showing up more and listening to ideas and completing work. I myself am losing focus, concentration and hope with this project as it gets later in the semester from frustration on not being able to understand some things and not understanding why my teammates can&#39;t just be truthful when they won&#39;t be to meetings instead of going &quot;ghost&quot;.",
"We had our mini meet up with the professors, and I feel just about the same as I did then. ",
Im worried  that my team does not communicate effectively or is proactive about addressing the coming checkpoints in a timely  fashion,
"Our communication is still lacking and work is completed inefficiently. We work well enough as a group, but our success is not at the level that it should be. We are able to buckle down when necessary and have met our goals, but rarely exceed our goals.",
Kush needs to focus more on getting work done first then having fun. He seems to always be missing for a majority of our latest meetings since the last CATME evaluation and tends to put minimal effort in helping. The rest of the group has to suffer and put even more time and effort into the project because Kush has other priorities then working on a project that&#39;ll decide whether he&#39;ll be an engineering major or not.,
